,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
0,Edificio Step,UF,2550,21 a 53 m² útiles,1 a 2 dormitorios,1 baño,129 unidades disponibles,https://www.portalinmobiliario.com/MLC-1680912136-edificio-step-_JM#position=1&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
1,Meneses,UF,2590,35 a 68 m² útiles,1 a 3 dormitorios,1 a 2 baños,21 unidades disponibles,https://www.portalinmobiliario.com/MLC-983000857-meneses-_JM#position=2&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
2,Eco Irarrázaval,UF,2965,26 a 62 m² útiles,1 a 2 dormitorios,1 a 2 baños,28 unidades disponibles,https://www.portalinmobiliario.com/MLC-1600031250-eco-irarrazaval-_JM#position=3&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
3,Manuel Montt 2630,UF,2621,22 a 86 m² útiles,1 a 3 dormitorios,1 a 2 baños,24 unidades disponibles,https://www.portalinmobiliario.com/MLC-2063374134-manuel-montt-2630-_JM#position=4&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
4,Mirador 950,UF,1809,22 a 45 m² útiles,1 a 2 dormitorios,1 a 2 baños,299 unidades disponibles,https://www.portalinmobiliario.com/MLC-1390475117-mirador-950-_JM#position=5&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
5,Europa,UF,5568,29 a 117 m² útiles,1 a 3 dormitorios,1 a 3 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-1564935088-europa-_JM#position=6&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
6,Almagro Huáscar,UF,4430,45 a 118 m² útiles,1 a 3 dormitorios,1 a 3 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1419403111-almagro-huascar-_JM#position=7&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
7,Karun,UF,9390,68 a 151 m² útiles,2 a 3 dormitorios,2 a 3 baños,9 unidades disponibles,https://www.portalinmobiliario.com/MLC-1016779940-karun-_JM#position=8&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
8,Laguna del Mar,UF,2290,33 a 80 m² útiles,1 a 3 dormitorios,1 a 2 baños,45 unidades disponibles,https://www.portalinmobiliario.com/MLC-2178946736-laguna-del-mar-_JM#position=9&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
9,CU Apartments,UF,4183,29 a 66 m² útiles,1 a 2 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1450272629-cu-apartments-_JM#position=10&search_layout=grid&type=item&tracking_id=a2ce71dd-a4c3-4741-bd00-df65ab779a87
